circuit,greedy_k,final_cost,original_cost,reduction_pct,peak_mb,qalm_k_iters,max_qalm_k
adder_8,0,511,900,43.22,3469,1,1
adder_8,1,511,900,43.22,2915,1,2
adder_8,2,510,900,43.33,2718,1,3
adder_8,3,518,900,42.44,3432,1,4
barenco_tof_3,0,35,58,39.66,1481,1,1
barenco_tof_3,1,36,58,37.93,826,1,2
barenco_tof_3,2,36,58,37.93,601,1,3
barenco_tof_3,3,35,58,39.66,546,1,4
barenco_tof_4,0,62,114,45.61,1816,1,1
barenco_tof_4,1,62,114,45.61,1504,1,2
barenco_tof_4,2,66,114,42.11,1256,1,3
barenco_tof_4,3,66,114,42.11,1107,1,4
barenco_tof_5,0,93,170,45.29,2468,1,1
barenco_tof_5,1,93,170,45.29,1909,1,2
barenco_tof_5,2,94,170,44.71,1574,1,3
barenco_tof_5,3,94,170,44.71,1414,1,4
barenco_tof_10,0,237,450,47.33,4058,1,1
barenco_tof_10,1,234,450,48.00,3348,1,2
barenco_tof_10,2,238,450,47.11,2725,1,3
barenco_tof_10,3,235,450,47.78,2655,1,4
csla_mux_3,0,141,170,17.06,2188,1,1
csla_mux_3,1,142,170,16.47,2212,1,2
csla_mux_3,2,143,170,15.88,1848,1,3
csla_mux_3,3,145,170,14.71,1758,1,4
csum_mux_9,0,280,420,33.33,2650,1,1
csum_mux_9,1,280,420,33.33,2331,1,2
csum_mux_9,2,280,420,33.33,2091,1,3
csum_mux_9,3,280,420,33.33,2077,1,4
gf2^4_mult,0,165,225,26.67,2802,1,1
gf2^4_mult,1,169,225,24.89,2318,1,2
gf2^4_mult,2,166,225,26.22,1954,1,3
gf2^4_mult,3,168,225,25.33,2016,1,4
gf2^5_mult,0,265,347,23.63,2941,1,1
gf2^5_mult,1,261,347,24.78,2519,1,2
gf2^5_mult,2,264,347,23.92,2190,1,3
gf2^5_mult,3,264,347,23.92,2551,1,4
gf2^6_mult,0,369,495,25.45,3297,1,1
gf2^6_mult,1,367,495,25.86,2711,1,2
gf2^6_mult,2,366,495,26.06,2227,1,3
gf2^6_mult,3,364,495,26.46,3457,1,4
gf2^7_mult,0,505,669,24.51,3926,1,1
gf2^7_mult,1,496,669,25.86,3826,1,2
gf2^7_mult,2,496,669,25.86,3416,1,3
gf2^7_mult,3,494,669,26.16,5485,1,4
gf2^8_mult,0,663,883,24.92,3720,1,1
gf2^8_mult,1,654,883,25.93,3223,1,2
gf2^8_mult,2,654,883,25.93,3277,1,3
gf2^8_mult,3,653,883,26.05,6091,1,4
gf2^9_mult,0,825,1095,24.66,3656,1,1
gf2^9_mult,1,805,1095,26.48,3488,1,2
gf2^9_mult,2,805,1095,26.48,3525,1,3
gf2^9_mult,3,805,1095,26.48,4448,0,
gf2^10_mult,0,1007,1347,25.24,4435,1,1
gf2^10_mult,1,972,1347,27.84,3725,1,2
gf2^10_mult,2,972,1347,27.84,3875,1,3
gf2^10_mult,3,972,1347,27.84,6190,0,
mod5_4,0,24,63,61.90,1389,1,1
mod5_4,1,24,63,61.90,961,1,2
mod5_4,2,24,63,61.90,821,1,3
mod5_4,3,24,63,61.90,278,1,4
mod_mult_55,0,86,119,27.73,2269,1,1
mod_mult_55,1,86,119,27.73,1786,1,2
mod_mult_55,2,86,119,27.73,1363,1,3
mod_mult_55,3,86,119,27.73,1197,1,4
mod_red_21,0,176,278,36.69,2744,1,1
mod_red_21,1,178,278,35.97,2189,1,2
mod_red_21,2,175,278,37.05,1903,1,3
mod_red_21,3,178,278,35.97,1684,1,4
qcla_adder_10,0,386,521,25.91,3122,1,1
qcla_adder_10,1,386,521,25.91,2611,1,2
qcla_adder_10,2,386,521,25.91,2341,1,3
qcla_adder_10,3,385,521,26.10,2687,1,4
qcla_com_7,0,254,443,42.66,3093,1,1
qcla_com_7,1,254,443,42.66,2417,1,2
qcla_com_7,2,254,443,42.66,2237,1,3
qcla_com_7,3,254,443,42.66,2156,1,4
qcla_mod_7,0,619,884,29.98,3540,1,1
qcla_mod_7,1,618,884,30.09,3144,1,2
qcla_mod_7,2,615,884,30.43,2956,1,3
qcla_mod_7,3,617,884,30.20,4191,1,4
rc_adder_6,0,152,200,24.00,2657,1,1
rc_adder_6,1,152,200,24.00,2140,1,2
rc_adder_6,2,152,200,24.00,1789,1,3
rc_adder_6,3,152,200,24.00,1677,1,4
tof_3,0,33,45,26.67,1433,1,1
tof_3,1,35,45,22.22,194,2,3
tof_3,2,35,45,22.22,176,2,4
tof_3,3,35,45,22.22,170,1,4
tof_4,0,53,75,29.33,1933,1,1
tof_4,1,53,75,29.33,776,1,2
tof_4,2,51,75,32.00,837,1,3
tof_4,3,53,75,29.33,623,1,4
tof_5,0,71,105,32.38,2219,1,1
tof_5,1,71,105,32.38,1696,1,2
tof_5,2,69,105,34.29,1359,1,3
tof_5,3,69,105,34.29,1190,1,4
tof_10,0,171,255,32.94,3154,1,1
tof_10,1,167,255,34.51,2057,1,2
tof_10,2,167,255,34.51,2105,1,3
tof_10,3,169,255,33.73,1870,1,4
vbe_adder_3,0,75,150,50.00,2367,1,1
vbe_adder_3,1,75,150,50.00,1760,1,2
vbe_adder_3,2,75,150,50.00,1480,1,3
vbe_adder_3,3,75,150,50.00,1207,1,4
