circuit,orig_total,orig_cx,opt_total,opt_cx,total_reduction_pct,cx_reduction_pct,peak_rss_mb,status,max_k,term_events,total_t10,cx_t10,total_t30,cx_t30,total_t60,cx_t60,total_t120,cx_t120,total_t180,cx_t180,total_t240,cx_t240,total_t360,cx_t360,total_t480,cx_t480,total_t600,cx_t600,total_t900,cx_t900,total_t1200,cx_t1200,total_t1800,cx_t1800,total_t2400,cx_t2400,total_t3000,cx_t3000,total_t3600,cx_t3600
adder_8,900,409,523,255,41.89,37.65,1133.3,OK,121,118,585.0,290,582.0,287,544.0,269,533.0,262,532.0,261,532.0,261,532.0,261,532.0,261,532.0,261,532.0,261,527.0,259,526.0,258,525.0,255,524.0,256,523.0,255
barenco_tof_3,58,24,38,16,34.48,33.33,100.0,OK,211,1,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16
barenco_tof_4,114,48,64,26,43.86,45.83,307.5,OK,7,4,72.0,34,71.0,33,68.0,30,68.0,30,68.0,30,66.0,28,66.0,28,66.0,28,66.0,28,66.0,28,66.0,28,66.0,28,64.0,26,64.0,26,64.0,26
barenco_tof_5,170,72,100,46,41.18,36.11,233.6,OK,116,113,104.0,50,101.0,47,101.0,47,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46,100.0,46
barenco_tof_10,450,192,256,122,43.11,36.46,500.7,OK,167,164,264.0,130,264.0,130,264.0,130,264.0,130,264.0,130,264.0,130,263.0,127,263.0,127,262.0,126,260.0,124,259.0,123,257.0,121,256.0,122,256.0,122,256.0,122
csla_mux_3,170,80,146,69,14.12,13.75,555.7,OK,37,34,149.0,72,149.0,72,149.0,72,149.0,72,149.0,72,149.0,72,148.0,71,148.0,71,148.0,71,147.0,70,146.0,69,146.0,69,146.0,69,146.0,69,146.0,69
csum_mux_9,420,168,280,140,33.33,16.67,1665.9,OK,6,3,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140
gf2^4_mult,225,99,173,92,23.11,7.07,371.1,OK,481,478,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92,173.0,92
gf2^5_mult,347,154,265,140,23.63,9.09,585.2,OK,589,586,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140
gf2^6_mult,495,221,370,200,25.25,9.50,796.9,OK,218,215,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200
gf2^7_mult,669,300,500,269,25.26,10.33,1133.5,OK,196,193,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269
gf2^8_mult,883,405,660,359,25.25,11.36,1478.0,OK,227,224,706.0,405,663.0,362,663.0,362,663.0,362,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359
gf2^9_mult,1095,494,805,436,26.48,11.74,2025.5,OK,503,500,863.0,494,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436
gf2^10_mult,1347,609,972,536,27.84,11.99,2566.4,OK,517,514,1045.0,609,1045.0,609,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536
mod5_4,63,28,24,13,61.90,53.57,106.6,OK,33,1,27.0,16,25.0,14,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13
mod_mult_55,119,48,86,38,27.73,20.83,479.2,OK,13,10,87.0,39,87.0,39,87.0,39,87.0,39,87.0,39,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38
mod_red_21,278,105,175,72,37.05,31.43,365.1,OK,96,93,180.0,77,180.0,77,180.0,77,177.0,74,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73,175.0,72,175.0,72,175.0,72,175.0,72,175.0,72
qcla_adder_10,521,233,392,177,24.76,24.03,756.4,OK,197,194,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177,392.0,177
qcla_com_7,443,186,258,121,41.76,34.95,564.7,OK,950,947,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121,258.0,121
qcla_mod_7,884,382,621,282,29.75,26.18,1241.5,OK,203,200,627.0,288,627.0,288,627.0,288,622.0,283,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282,621.0,282
rc_adder_6,200,93,152,71,24.00,23.66,378.2,OK,307,304,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71,152.0,71
tof_3,45,18,35,14,22.22,22.22,176.4,OK,4,0,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14,35.0,14
