circuit,greedy_k,fixed_k,final_cost,original_cost,reduction_pct,peak_mb
adder_8,0,1,526,900,41.56,1491
adder_8,0,2,507,900,43.67,3174
adder_8,0,3,497,900,44.78,3056
adder_8,0,4,529,900,41.22,1190
adder_8,0,5,506,900,43.78,2362
barenco_tof_3,0,1,35,58,39.66,1489
barenco_tof_3,0,2,36,58,37.93,408
barenco_tof_3,0,3,35,58,39.66,924
barenco_tof_3,0,4,36,58,37.93,806
barenco_tof_3,0,5,38,58,34.48,278
barenco_tof_4,0,1,62,114,45.61,1860
barenco_tof_4,0,2,62,114,45.61,1501
barenco_tof_4,0,3,64,114,43.86,448
barenco_tof_4,0,4,62,114,45.61,1088
barenco_tof_4,0,5,62,114,45.61,950
barenco_tof_5,0,1,96,170,43.53,812
barenco_tof_5,0,2,94,170,44.71,1884
barenco_tof_5,0,3,94,170,44.71,1597
barenco_tof_5,0,4,96,170,43.53,475
barenco_tof_5,0,5,94,170,44.71,1204
barenco_tof_10,0,1,240,450,46.67,4107
barenco_tof_10,0,2,241,450,46.44,1073
barenco_tof_10,0,3,238,450,47.11,2788
barenco_tof_10,0,4,244,450,45.78,2013
barenco_tof_10,0,5,248,450,44.89,775
csla_mux_3,0,1,141,170,17.06,2754
csla_mux_3,0,2,142,170,16.47,2232
csla_mux_3,0,3,145,170,14.71,706
csla_mux_3,0,4,143,170,15.88,1654
csla_mux_3,0,5,142,170,16.47,1490
csum_mux_9,0,1,280,420,33.33,1081
csum_mux_9,0,2,280,420,33.33,1969
csum_mux_9,0,3,280,420,33.33,2048
csum_mux_9,0,4,280,420,33.33,821
csum_mux_9,0,5,280,420,33.33,1764
gf2^4_mult,0,1,166,225,26.22,2376
gf2^4_mult,0,2,166,225,26.22,866
gf2^4_mult,0,3,171,225,24.00,1957
gf2^4_mult,0,4,166,225,26.22,1769
gf2^4_mult,0,5,171,225,24.00,655
gf2^5_mult,0,1,263,347,24.21,2599
gf2^5_mult,0,2,264,347,23.92,2639
gf2^5_mult,0,3,267,347,23.05,944
gf2^5_mult,0,4,263,347,24.21,2055
gf2^5_mult,0,5,266,347,23.34,1826
gf2^6_mult,0,1,367,495,25.86,1363
gf2^6_mult,0,2,370,495,25.25,2832
gf2^6_mult,0,3,364,495,26.46,2360
gf2^6_mult,0,4,373,495,24.65,1078
gf2^6_mult,0,5,372,495,24.85,1924
gf2^7_mult,0,1,499,669,25.41,4400
gf2^7_mult,0,2,504,669,24.66,1356
gf2^7_mult,0,3,504,669,24.66,3169
gf2^7_mult,0,4,509,669,23.92,2492
gf2^7_mult,0,5,508,669,24.07,1225
gf2^8_mult,0,1,658,883,25.48,3445
gf2^8_mult,0,2,660,883,25.25,3266
gf2^8_mult,0,3,672,883,23.90,1534
gf2^8_mult,0,4,667,883,24.46,2819
gf2^8_mult,0,5,664,883,24.80,2548
gf2^9_mult,0,1,835,1095,23.74,1899
gf2^9_mult,0,2,829,1095,24.29,3530
gf2^9_mult,0,3,832,1095,24.02,3174
gf2^9_mult,0,4,843,1095,23.01,1764
gf2^9_mult,0,5,831,1095,24.11,2753
gf2^10_mult,0,1,1008,1347,25.17,4286
gf2^10_mult,0,2,1016,1347,24.57,2126
gf2^10_mult,0,3,1008,1347,25.17,3618
gf2^10_mult,0,4,1001,1347,25.69,3291
gf2^10_mult,0,5,1023,1347,24.05,1978
mod5_4,0,1,24,63,61.90,1214
mod5_4,0,2,25,63,60.32,363
mod5_4,0,3,24,63,61.90,832
mod5_4,0,4,24,63,61.90,625
mod5_4,0,5,24,63,61.90,237
mod_mult_55,0,1,86,119,27.73,2251
mod_mult_55,0,2,86,119,27.73,1724
mod_mult_55,0,3,86,119,27.73,531
mod_mult_55,0,4,86,119,27.73,1309
mod_mult_55,0,5,86,119,27.73,1160
mod_red_21,0,1,178,278,35.97,989
mod_red_21,0,2,175,278,37.05,2211
mod_red_21,0,3,177,278,36.33,1877
mod_red_21,0,4,178,278,35.97,670
mod_red_21,0,5,177,278,36.33,1469
qcla_adder_10,0,1,390,521,25.14,2991
qcla_adder_10,0,2,388,521,25.53,2599
qcla_adder_10,0,3,384,521,26.30,2309
qcla_adder_10,0,4,387,521,25.72,2101
qcla_adder_10,0,5,387,521,25.72,1917
qcla_com_7,0,1,254,443,42.66,2917
qcla_com_7,0,2,252,443,43.12,2617
qcla_com_7,0,3,254,443,42.66,2176
qcla_com_7,0,4,254,443,42.66,1886
qcla_com_7,0,5,254,443,42.66,1713
qcla_mod_7,0,1,622,884,29.64,3631
